,Unnamed: 0,image,target,kfold
0,0,tfymlmdkpzkqdjhdxyhnoeuqszxphw.jpg,0,0
1,1,rxgismgsvmaayzjarbfjaljhqmpbrt.jpg,1,0
2,2,uuzshfrhkgrkolhwdvliqauzulurnz.jpg,0,0
3,3,mjspxsagzusaznvnyxgamtrlqkqklp.jpg,0,0
4,4,rlbmuajgezfiddjzlyeoupxpqubkpt.jpg,1,0
5,5,ngvvhadzegowlxligtftkbucwyphvw.jpg,0,0
6,6,qlwbzgvdyqwncrvqzaezrrqlwuugdp.jpg,1,0
7,7,lbbmpcbdwgdbskcdmsanklchyknuig.jpg,0,0
8,8,xgpvctqkxpuljjixphprbdrkcuzfoi.jpg,0,0
9,9,tszmhququgjczggoxanwvdlzbdbxhb.jpg,0,0
10,10,qvqhxwbgpskanqpsfbigdmbpkenvgk.jpg,0,0
11,11,eqirckpknxclvrlxvfxaswsodbxlmm.jpg,1,0
12,12,yoewqnzdgdhogcwdageakflfeogisq.jpg,0,0
13,15,hcysrvramduefsgkkgvqbmxzlodgal.jpg,1,0
14,16,spdcmncwcnpqagxrlivyldeknnfcvr.jpg,1,0
15,17,zaemovvkdftxvorancdugwjzuodbmm.jpg,1,0
16,18,uvpqnqfujwsxhbgvfbvcidhcqnyuum.jpg,0,0
17,19,kzgroxmxsdfrkxusymupjaxumbwoow.jpg,1,0
18,20,cjsjioqkweumqcnobaydijuvfvtrel.jpg,1,0
19,21,iehmewhtlomanneoicvbyjonzzcbhh.jpg,0,0
20,22,uiclughuenqkjonhhjgjclflpqkhsk.jpg,0,0
21,23,hfbevhhmejjmdndclkpyeyaideyjgp.jpg,1,0
22,24,pmociluihyptefnqdlihzzodiczkso.jpg,0,0
23,25,qkishcozhztulvrhvodbabprxomeuq.jpg,0,0
24,26,gvpxmmxppqjudjgopzedpjxypiptvv.jpg,1,0
25,27,puqorndzkjfvoumnsalrxwtagkatzx.jpg,1,0
26,28,onyffqwtwwbgvwxhhvfypoauswcodw.jpg,0,0
27,29,dpdeuxtkwvguedrtkxpoqhlzmaaprz.jpg,1,0
28,30,euaxozalqcqmhzyvxpiihzcvfzpcub.jpg,0,0
29,31,iyfvcbwzfaqgyhucpjkjarokthoxrk.jpg,0,0
30,32,jmhkcysyccbltidbhhulrfrcuskgbj.jpg,0,0
31,34,ctphrbatrhaucvhkjbiocaaohfzctt.jpg,0,0
32,35,sveewpluezhyjjgpmvtpwbgollpmwp.jpg,0,0
33,36,sbeuyukmnjgyeaerbjcykdevmjtkpb.jpg,0,0
34,37,vplmaqntbpbvyyoqixjdvtipaqazjq.jpg,0,0
35,38,gdhzlcfqsexrthbxdmldnxorvyonua.jpg,1,0
36,39,fingxvtrgywssidapmeibojfikcrlv.jpg,0,0
37,40,xqpenvrsqzvtxzfyrfcdezrzrrzysb.jpg,0,0
